case,category,n,median_s,min_s,max_s,median_user_s,median_system_s,median_rss_mib,peak_rss_mib,stable_output,rows,canonical_sha256
throughput_1t,thread_scaling,3,4.94394061300045,4.929334413998731,5.006196854999871,4.85,0.08,18.70703125,18.70703125,True,46,63bb224be6a2c81e5a472b987e2a567aa5b94d11b409fa98363006bc2c29c35f
throughput_2t,thread_scaling,3,2.5557217730001867,2.5268180830007623,2.5567518139996537,4.98,0.08,22.98046875,23.01953125,True,46,63bb224be6a2c81e5a472b987e2a567aa5b94d11b409fa98363006bc2c29c35f
throughput_4t,thread_scaling,3,1.457132179999462,1.4408184200001415,1.4654113249998773,5.49,0.09,31.36328125,31.41796875,True,46,63bb224be6a2c81e5a472b987e2a567aa5b94d11b409fa98363006bc2c29c35f
throughput_6t,thread_scaling,3,1.1035434080004052,1.1029328830009035,1.1304035789999034,6.03,0.1,39.953125,40.1015625,True,46,63bb224be6a2c81e5a472b987e2a567aa5b94d11b409fa98363006bc2c29c35f
throughput_12t,thread_scaling,3,0.9737667690005765,0.9697374300012598,0.9973698590001732,9.99,0.21,65.25390625,65.34375,True,46,63bb224be6a2c81e5a472b987e2a567aa5b94d11b409fa98363006bc2c29c35f
memory_t3000_q800,memory_stress,3,41.342943921999904,41.023752807001074,41.38111244100037,41.33,0.01,24.1640625,24.49609375,True,1,4b13141f180ec263b2ab5741978980aa0dad0358121f48e94b635b8fef4f909d
memory_window300,memory_stress,3,71.17274418099987,71.00917812499938,71.29720415200063,71.15,0.01,24.2890625,24.41015625,True,1,4b13141f180ec263b2ab5741978980aa0dad0358121f48e94b635b8fef4f909d
cache_computed_control,accessibility,3,0.8214747539987002,0.8063602679994801,0.825382967999758,0.81,0.0,20.015625,20.140625,True,1,4e85ea382cca678c872dbd6a2db44166587c7287303aa9430e518c4eeeb1d532
cache_reused,accessibility,3,0.4899478619990987,0.48966892400130746,0.4942459100002452,0.48,0.0,14.625,14.65625,True,1,4e85ea382cca678c872dbd6a2db44166587c7287303aa9430e518c4eeeb1d532
blas_one_control,biological,3,0.05221331500069937,0.051877538000553614,0.052547638999385526,0.04,0.0,16.765625,16.890625,True,1,165ff5f67bf5903614b8fc7653fff64248c219da11cff07801126618cb05d286
blas_unset,biological,3,0.14719683800103667,0.08107976300016162,0.14739105199987534,1.48,0.0,18.03125,18.140625,True,1,165ff5f67bf5903614b8fc7653fff64248c219da11cff07801126618cb05d286
blas_twelve,biological,3,0.08608295200065186,0.08293307199892297,0.13168180699904042,0.89,0.0,18.015625,18.03125,True,1,165ff5f67bf5903614b8fc7653fff64248c219da11cff07801126618cb05d286
memory_s,memory_stress,3,21.380113020999488,21.343466678999903,21.417944697001076,21.31,0.06,127.5,127.61328125,True,1,4b13141f180ec263b2ab5741978980aa0dad0358121f48e94b635b8fef4f909d
memory_s_window300,memory_stress,3,59.70793401499941,59.652079794999736,59.79934105799839,59.56,0.15,24.13671875,24.16015625,True,1,4b13141f180ec263b2ab5741978980aa0dad0358121f48e94b635b8fef4f909d
cache_matched_computed,accessibility,3,0.8053767340006743,0.8047242970005755,0.8079228389997297,0.79,0.0,19.890625,20.015625,True,1,4e85ea382cca678c872dbd6a2db44166587c7287303aa9430e518c4eeeb1d532
cache_matched_reused,accessibility,3,0.49164027200095006,0.49093954599993594,0.49353864999829966,0.48,0.0,14.625,14.75,True,1,4e85ea382cca678c872dbd6a2db44166587c7287303aa9430e518c4eeeb1d532
